16,30,47,52,76,90,51,0,1,9,1,1961
3,17,21,29,57,90,30,0,2,14,1,1961
5,12,24,53,69,90,75,0,3,21,1,1961
13,25,42,54,60,90,44,0,4,28,1,1961
7,19,21,37,59,76,3,0,5,4,2,1961
7,44,55,61,63,71,81,0,6,11,2,1961
16,22,29,58,78,81,55,0,7,18,2,1961
3,8,51,59,74,75,5,0,8,25,2,1961
10,21,33,77,83,87,79,0,9,4,3,1961
17,18,40,47,73,87,43,0,10,11,3,1961
2,5,8,33,43,50,51,0,11,18,3,1961
5,11,23,36,56,68,65,0,12,25,3,1961
9,39,44,75,77,82,67,0,13,1,4,1961
1,28,41,66,82,89,39,0,14,8,4,1961
1,10,26,55,59,88,8,0,15,15,4,1961
33,40,48,52,64,82,73,0,16,22,4,1961
25,26,45,49,63,82,62,0,17,29,4,1961
18,38,55,61,67,71,88,0,18,6,5,1961
26,48,58,62,78,84,1,0,19,13,5,1961
19,32,37,54,55,74,36,0,20,20,5,1961
3,7,26,52,59,65,89,0,21,27,5,1961
17,65,69,70,86,87,42,0,22,5,6,1961
1,3,29,34,45,84,77,0,24,17,6,1961
4,11,25,57,66,72,21,0,25,24,6,1961
6,9,10,21,47,83,49,0,26,1,7,1961
9,52,61,67,75,89,38,0,27,8,7,1961
1,22,25,39,54,56,2,0,28,15,7,1961
15,21,45,48,57,89,51,0,29,22,7,1961
53,63,68,77,84,90,61,0,30,29,7,1961
6,45,54,64,76,78,9,0,31,5,8,1961
32,41,44,70,84,88,73,0,32,12,8,1961
6,18,22,44,57,83,52,0,33,19,8,1961
32,51,54,58,59,89,63,0,34,26,8,1961
2,10,37,48,52,72,13,0,35,2,9,1961
2,14,23,46,51,71,64,0,36,9,9,1961
28,48,54,62,80,82,32,0,37,16,9,1961
17,36,39,45,48,55,83,0,38,23,9,1961
2,30,32,35,70,77,17,0,39,30,9,1961
23,31,38,62,81,85,43,0,40,7,10,1961
11,56,62,79,84,86,16,0,41,14,10,1961
10,13,24,35,38,73,69,0,42,21,10,1961
9,17,29,57,64,90,6,0,43,28,10,1961
23,35,36,47,52,77,70,0,44,6,11,1961
7,30,36,51,70,72,84,0,45,11,11,1961
19,32,56,61,73,87,8,0,46,18,11,1961
6,33,58,61,71,87,35,0,47,25,11,1961
34,43,54,69,70,71,75,0,48,2,12,1961
15,35,58,59,68,80,34,0,49,11,12,1961
29,34,37,41,68,87,76,0,50,16,12,1961
7,39,41,42,43,78,52,0,51,23,12,1961
21,35,71,85,86,89,6,0,52,30,12,1961
7,11,25,27,51,83,20,0,1,6,1,1962
1,24,29,39,40,60,73,0,2,13,1,1962
5,38,39,69,73,90,18,0,3,20,1,1962
17,18,21,23,37,46,62,0,4,27,1,1962
2,29,33,55,67,79,45,0,5,3,2,1962
1,2,15,19,36,61,53,0,6,10,2,1962
3,7,48,56,66,87,4,0,7,17,2,1962
19,22,33,54,79,80,87,0,8,24,2,1962
12,39,40,55,58,68,37,0,9,3,3,1962
14,49,54,58,71,85,37,0,10,10,3,1962
2,37,39,46,49,65,58,0,11,17,3,1962
2,6,10,64,76,84,65,0,12,24,3,1962
19,49,57,63,71,74,34,0,13,31,3,1962
7,9,20,41,51,84,27,0,14,7,4,1962
17,26,38,78,82,88,6,0,15,14,4,1962
4,12,17,71,87,90,70,0,16,21,4,1962
43,53,55,71,88,90,48,0,17,28,4,1962
9,18,25,33,35,79,36,0,18,5,5,1962
11,15,39,41,59,76,71,0,19,12,5,1962
9,13,47,64,78,89,52,0,20,19,5,1962
10,23,49,52,66,71,7,0,21,26,5,1962
2,24,30,73,83,84,51,0,22,2,6,1962
30,35,38,40,58,79,64,0,23,9,6,1962
7,43,52,82,84,85,58,0,24,16,6,1962
22,27,29,43,50,70,64,0,25,23,6,1962
2,9,20,53,60,86,11,0,26,30,6,1962
13,24,48,49,62,67,80,0,27,7,7,1962
5,9,13,15,60,74,2,0,28,14,7,1962
5,9,13,27,60,83,52,0,29,21,7,1962
4,11,13,16,67,70,39,0,30,28,7,1962
7,27,54,62,64,88,20,0,31,4,8,1962
6,11,12,16,20,56,57,0,32,11,8,1962
9,22,27,30,54,71,52,0,33,18,8,1962
15,16,42,65,76,89,59,0,34,25,8,1962
8,14,30,39,61,90,53,0,35,1,9,1962
44,58,64,69,76,78,17,0,36,8,9,1962
11,33,36,37,60,89,48,0,37,15,9,1962
9,26,28,59,60,69,18,0,38,22,9,1962
4,27,29,36,49,54,45,0,39,29,9,1962
9,35,46,62,69,86,57,0,40,6,10,1962
13,20,23,24,25,65,3,0,41,13,10,1962
6,15,73,77,81,88,85,0,42,20,10,1962
38,53,58,66,70,81,41,0,43,27,10,1962
1,2,39,69,75,85,29,0,44,3,11,1962
19,22,36,53,55,85,47,0,45,10,11,1962
4,31,39,63,82,90,7,0,46,17,11,1962
13,20,41,43,62,65,89,0,47,24,11,1962
14,16,34,50,67,79,5,0,48,1,12,1962
3,11,27,29,40,44,38,0,49,8,12,1962
7,8,35,49,69,77,36,0,50,15,12,1962
3,36,43,48,49,53,69,0,51,22,12,1962
8,19,56,66,75,89,4,0,52,29,12,1962
1,9,11,77,78,81,20,0,1,5,1,1963
1,2,16,24,47,54,66,0,2,12,1,1963
41,47,54,62,79,82,45,0,3,19,1,1963
8,19,47,61,76,82,21,0,4,26,1,1963
12,19,58,60,74,76,46,0,5,2,2,1963
17,33,60,70,76,78,23,0,6,9,2,1963
5,24,27,45,53,54,77,0,7,16,2,1963
13,20,31,42,58,62,82,0,8,23,2,1963
52,59,62,75,79,84,40,0,9,2,3,1963
2,36,41,46,55,66,35,0,10,9,3,1963
3,10,22,33,53,89,76,0,11,16,3,1963
12,19,40,44,45,78,6,0,12,23,3,1963
11,42,48,55,76,88,90,0,13,30,3,1963
26,30,44,50,63,67,83,0,14,6,4,1963
11,30,38,44,46,69,86,0,15,13,4,1963
27,49,51,57,74,81,35,0,16,20,4,1963
10,23,49,68,78,89,15,0,17,27,4,1963
5,21,36,58,61,68,57,0,18,4,5,1963
5,9,45,56,74,80,54,0,19,11,5,1963
1,8,31,32,52,69,90,0,20,18,5,1963
9,17,26,41,49,55,5,0,21,25,5,1963
23,37,51,61,64,74,90,0,22,1,6,1963
1,7,21,22,30,79,50,0,23,8,6,1963
14,29,42,48,75,84,33,0,24,15,6,1963
